id_rating,id_tempat_wisata,id_user,rating
1,1,1,3.2
2,1,2,4.4
3,1,3,3.6
4,1,4,4.4
5,2,1,2.2
6,2,2,4.8
7,2,3,4
8,2,4,4.8
9,3,1,4
10,3,2,5
11,3,3,3.6
12,3,4,5
13,4,1,2.2
14,4,2,5
15,4,3,3.6
16,4,4,5
17,5,1,2.4
18,5,2,3.8
19,5,3,3.6
20,5,4,3.8
21,6,1,3.2
22,6,2,1
23,6,3,3.4
24,6,4,3.8
25,7,1,2.6
26,7,2,4.2
27,7,3,3.6
28,7,4,3.6
29,8,1,3.2
30,8,2,3.6
31,8,3,3.6
32,8,4,3.6
33,9,1,2.8
34,9,2,3.8
35,9,3,3.4
36,9,4,3.8
37,10,1,3.8
38,10,2,3.8
39,10,3,3.6
40,10,4,3.8
41,11,1,3.6
42,11,2,3.8
43,11,3,3.6
44,11,4,3.8
45,12,1,3.4
46,12,2,4.2
47,12,3,3.6
48,12,4,4.2
49,13,1,4.2
50,13,2,4
51,13,3,3.4
52,13,4,3.2
53,14,1,4
54,14,2,3.2
55,14,3,3.2
56,14,4,2.4
57,15,1,3.2
58,15,2,2.4
59,15,3,3.4
60,15,4,3.8
61,16,1,3
62,16,2,3.8
63,16,3,3.2
64,16,4,3.2
65,17,1,3.2
66,17,2,3.2
67,17,3,3
68,17,4,1
69,18,1,3.2
70,18,2,1
71,18,3,3.2
72,18,4,3.2
73,19,1,3.6
74,19,2,3.4
75,19,3,3.4
76,19,4,3.6
77,20,1,2.2
78,20,2,4
79,20,3,3.4
80,20,4,2.2
81,21,1,3.2
82,21,2,3.2
83,21,3,3.4
84,21,4,3.2
85,22,1,4.6
86,22,2,3.6
87,22,3,3.2
88,22,4,4.6
89,23,1,2.8
90,23,2,4.4
91,23,3,3.4
92,23,4,2.8
93,24,1,3.2
94,24,2,1
95,24,3,3.4
96,24,4,3.2
97,25,1,2.6
98,25,2,4.5
99,25,3,3.8
100,25,4,4.5
101,26,1,3.8
102,26,2,4
103,26,3,3.6
104,26,4,4
105,27,1,3.4
106,27,2,4
107,27,3,3.4
108,27,4,3.2
